line,model,compatible
LINE_1,AAA,1
LINE_1,PT0163,1
LINE_1,PT0189,1
LINE_1,PT0193,1
LINE_1,TF900,1
LINE_2,AAA,1
LINE_2,PT0163,1
LINE_2,PT0189,1
LINE_2,PT0193,0
LINE_2,TF900,0
LINE_3,AAA,1
LINE_3,PT0163,0
LINE_3,PT0189,0
LINE_3,PT0193,0
LINE_3,TF900,1
LINE_4,AAA,0
LINE_4,PT0163,1
LINE_4,PT0189,0
LINE_4,PT0193,0
LINE_4,TF900,0
LINE_5,AAA,1
LINE_5,PT0163,0
LINE_5,PT0189,1
LINE_5,PT0193,0
LINE_5,TF900,0
LINE_6,AAA,0
LINE_6,PT0163,0
LINE_6,PT0189,0
LINE_6,PT0193,0
LINE_6,TF900,1
LINE_7,AAA,0
LINE_7,PT0163,0
LINE_7,PT0189,0
LINE_7,PT0193,1
LINE_7,TF900,0
LINE_8,AAA,0
LINE_8,PT0163,0
LINE_8,PT0189,0
LINE_8,PT0193,0
LINE_8,TF900,0
LINE_9,AAA,0
LINE_9,PT0163,0
LINE_9,PT0189,0
LINE_9,PT0193,0
LINE_9,TF900,0
LINE_10,AAA,0
LINE_10,PT0163,0
LINE_10,PT0189,0
LINE_10,PT0193,0
LINE_10,TF900,0
