line,model_,compatible
LINE_1,TF0600.6,1
LINE_1,TF0600.7,1
LINE_1,TF0640.4,1
LINE_1,TF0640.5,1
LINE_1,TF0720.4,1
LINE_1,TF0910.1,1
LINE_1,TR0700.2,1
LINE_1,TR0900.2,1
LINE_1,TA3200.2,1
LINE_1,TF0900.1,1
LINE_1,TF0750.2,1
LINE_1,TF0780.2,1
LINE_1,TF0610.3,1
LINE_2,TF0600.6,1
LINE_2,TF0600.7,1
LINE_2,TF0640.4,1
LINE_2,TF0640.5,1
LINE_2,TF0720.4,1
LINE_2,TF0910.1,1
LINE_2,TR0700.2,1
LINE_2,TR0900.2,1
LINE_2,TA3200.2,1
LINE_2,TF0900.1,1
LINE_2,TF0750.2,1
LINE_2,TF0780.2,1
LINE_2,TF0610.3,1
LINE_3,TF0600.6,1
LINE_3,TF0600.7,1
LINE_3,TF0640.4,1
LINE_3,TF0640.5,1
LINE_3,TF0720.4,1
LINE_3,TF0910.1,1
LINE_3,TR0700.2,1
LINE_3,TR0900.2,1
LINE_3,TA3200.2,1
LINE_3,TF0900.1,1
LINE_3,TF0750.2,1
LINE_3,TF0780.2,1
LINE_3,TF0610.3,1
LINE_4,TF0600.6,1
LINE_4,TF0600.7,1
LINE_4,TF0640.4,1
LINE_4,TF0640.5,1
LINE_4,TF0720.4,1
LINE_4,TF0910.1,1
LINE_4,TR0700.2,1
LINE_4,TR0900.2,1
LINE_4,TA3200.2,1
LINE_4,TF0900.1,1
LINE_4,TF0750.2,1
LINE_4,TF0780.2,1
LINE_4,TF0610.3,1
LINE_5,TR1020.1,1
LINE_5,TR1000.X,1
LINE_5,TF0800.1,1
LINE_5,TF0800.2,1
LINE_5,TF0920.1,1
LINE_6,TR1020.1,1
LINE_6,TR1000.X,1
LINE_6,TF0800.1,1
LINE_6,TF0800.2,1
LINE_6,TF0920.1,1
LINE_7,PEQUEÑOS L,1
LINE_7,PEQUEÑOS D,1
LINE_8,PEQUEÑOS L,1
LINE_8,PEQUEÑOS D,1
LINE_9,PEQUEÑOS L,1
LINE_9,PEQUEÑOS D,1
LINE_10,PEQUEÑOS L,1
LINE_10,PEQUEÑOS D,1
LINE_11,PEQUEÑOS L,1
LINE_11,PEQUEÑOS D,1
LINE_12,GRANDES L,1
LINE_12,GRANDES D,1
LINE_12,PEQUEÑOS L,1
LINE_12,PEQUEÑOS D,1
LINE_13,GRANDES L,1
LINE_13,GRANDES D,1
LINE_13,PEQUEÑOS L,1
LINE_13,PEQUEÑOS D,1
LINE_14,GRANDES L,1
LINE_14,GRANDES D,1
LINE_14,PEQUEÑOS L,1
LINE_14,PEQUEÑOS D,1
LINE_15,GRANDES L,1
LINE_15,GRANDES D,1
LINE_15,PEQUEÑOS L,1
LINE_15,PEQUEÑOS D,1
LINE_16,GRANDES L,1
LINE_16,GRANDES D,1
LINE_16,PEQUEÑOS L,1
LINE_16,PEQUEÑOS D,1
LINE_17,GRANDES L,1
LINE_17,GRANDES D,1
LINE_17,PEQUEÑOS L,1
LINE_17,PEQUEÑOS D,1
LINE_18,XLINE_ L,1
LINE_18,XLINE_ D,1
LINE_18,GRANDES L,1
LINE_18,GRANDES D,1
LINE_18,PEQUEÑOS L,1
LINE_18,PEQUEÑOS D,1
LINE_1,AAA,1
LINE_1,PT0163,1
LINE_1,PT0189,1
LINE_1,PT0193,1
LINE_1,TF900,1
LINE_2,AAA,1
LINE_2,PT0163,1
LINE_2,PT0189,1
LINE_2,PT0193,0
LINE_2,TF900,0
LINE_3,AAA,1
LINE_3,PT0163,0
LINE_3,PT0189,0
LINE_3,PT0193,0
LINE_3,TF900,1
LINE_4,AAA,0
LINE_4,PT0163,1
LINE_4,PT0189,0
LINE_4,PT0193,0
LINE_4,TF900,0
LINE_5,AAA,1
LINE_5,PT0163,0
LINE_5,PT0189,1
LINE_5,PT0193,0
LINE_5,TF900,0
LINE_6,AAA,0
LINE_6,PT0163,0
LINE_6,PT0189,0
LINE_6,PT0193,0
LINE_6,TF900,1
LINE_7,AAA,0
LINE_7,PT0163,0
LINE_7,PT0189,0
LINE_7,PT0193,1
LINE_7,TF900,0
LINE_8,AAA,0
LINE_8,PT0163,0
LINE_8,PT0189,0
LINE_8,PT0193,0
LINE_8,TF900,0
LINE_9,AAA,0
LINE_9,PT0163,0
LINE_9,PT0189,0
LINE_9,PT0193,0
LINE_9,TF900,0
LINE_10,AAA,0
LINE_10,PT0163,0
LINE_10,PT0189,0
LINE_10,PT0193,0
LINE_10,TF900,0
