line,process,stations,operators_per_station
LINE_A,PREM,18,1
LINE_A,ML,5,2
LINE_A,PTBI,1,2
LINE_A,PTBA,1,1
LINE_A,TBQ,1,1
LINE_A,PACK,5,30
LINE_B,PREM,18,1
LINE_B,ML,5,2
LINE_B,PTBI,1,2
LINE_B,PTBA,1,1
LINE_B,TBQ,1,1
LINE_B,PACK,5,30
LINE_C,PREM,18,1
LINE_C,ML,5,2
LINE_C,PTBI,1,2
LINE_C,PTBA,1,1
LINE_C,TBQ,1,1
LINE_C,PACK,5,30
LINE_D,PREM,18,1
LINE_D,ML,5,2
LINE_D,PTBI,1,2
LINE_D,PTBA,1,1
LINE_D,TBQ,1,1
LINE_D,PACK,5,30
LINE_E,PREM,18,1
LINE_E,ML,5,2
LINE_E,PTBI,1,2
LINE_E,PTBA,1,1
LINE_E,TBQ,1,1
LINE_E,PACK,5,30
LINE_F,PREM,18,1
LINE_F,ML,5,2
LINE_F,PTBI,1,2
LINE_F,PTBA,1,1
LINE_F,TBQ,1,1
LINE_F,PACK,5,30
LINE_G,PREM,7,1
LINE_G,ML,3,2
LINE_G,PTBI,1,1
LINE_G,PTBA,1,1
LINE_G,TBQ,1,1
LINE_G,PACK,1,1
LINE_H,PREM,7,1
LINE_H,ML,3,2
LINE_H,PTBI,1,1
LINE_H,PTBA,1,1
LINE_H,TBQ,1,1
LINE_H,PACK,1,1
LINE_I,PREM,7,1
LINE_I,ML,3,2
LINE_I,PTBI,1,1
LINE_I,PTBA,1,1
LINE_I,TBQ,1,1
LINE_I,PACK,1,1
LINE_J,PREM,7,1
LINE_J,ML,3,2
LINE_J,PTBI,1,1
LINE_J,PTBA,1,1
LINE_J,TBQ,1,1
LINE_J,PACK,1,1
