model,description,active
PT0163,Convertidor PT0163,1
TF900,Transpor LV,1
PT0189,Convertidor Senvion,1
PT0193,Convertidor SenviÓN,1
AAA,Nuevo a estrenar,1
TR1020.1,Converter Tracción,1
TR1000.X,Converter Tracción,1
TR0700.2,Converter Tracción,1
TF0900.1,Converter Tracción,1
TF0800.2,Converter Tracción,1
TF0920.1,Converter Tracción,1
TF0610.3,Converter Tracción,1
TF0600.6,Converter Tracción,1
TF0600.7,Converter Tracción,1
TF0640.4,Converter Tracción,1
TF0640.5,Converter Tracción,1
TF0720.4,Converter Tracción,1
TF0910.1,Converter Tracción,1
TF0750.2,Converter Tracción,1
TF0780.2,Converter Tracción,1
TA3200.2,Converter Tracción,1
TR0900.2,Converter Tracción,1
TF0800.1,Converter Tracción,1
SL,Converter D&A Pequeño L  LV,1
SD,Converter D&A Pequeño D  LV,1
LL,Converter D&A Grande L  MV,1
LD,Converter D&A Grande D  MV,1
XD,Converter D&A Extra Grande L  MV,1
XL,Converter D&A Extra Grande D  MV,1
