model,process,cycle_time
TR1020.1,PREM,130
TR1020.1,ML,450
TR1020.1,PRM,5
TR1020.1,PRB,16
TR1020.1,PARA,16
TR1020.1,REP+EXP,2
TR1000.X,PREM,50
TR1000.X,ML,218
TR1000.X,PRM,5
TR1000.X,PRB,16
TR1000.X,PARA,16
TR1000.X,REP+EXP,0
TR0700.2,PREM,30
TR0700.2,ML,152
TR0700.2,PRM,3
TR0700.2,PRB,16
TR0700.2,PARA,8
TR0700.2,REP+EXP,8
TF0900.1,PREM,146
TF0900.1,ML,352
TF0900.1,PRM,16
TF0900.1,PRB,16
TF0900.1,PARA,8
TF0900.1,REP+EXP,8
TF0800.2,PREM,70
TF0800.2,ML,192
TF0800.2,PRM,25.5
TF0800.2,PRB,10
TF0800.2,PARA,8
TF0800.2,REP+EXP,8
TF0920.1,PREM,56
TF0920.1,ML,176
TF0920.1,PRM,8
TF0920.1,PRB,10
TF0920.1,PARA,8
TF0920.1,REP+EXP,8
TF0610.3,PREM,81
TF0610.3,ML,132
TF0610.3,PRM,12
TF0610.3,PRB,10
TF0610.3,PARA,8
TF0610.3,REP+EXP,8
TF0600.6,PREM,0
TF0600.6,ML,80
TF0600.6,PRM,4
TF0600.6,PRB,0
TF0600.6,PARA,4
TF0600.6,REP+EXP,8
TF0600.7,PREM,0
TF0600.7,ML,56
TF0600.7,PRM,4
TF0600.7,PRB,0
TF0600.7,PARA,4
TF0600.7,REP+EXP,8
TF0640.4,PREM,0
TF0640.4,ML,80
TF0640.4,PRM,4
TF0640.4,PRB,0
TF0640.4,PARA,4
TF0640.4,REP+EXP,8
TF0640.5,PREM,0
TF0640.5,ML,54
TF0640.5,PRM,4
TF0640.5,PRB,0
TF0640.5,PARA,4
TF0640.5,REP+EXP,8
TF0720.4,PREM,0
TF0720.4,ML,20
TF0720.4,PRM,2
TF0720.4,PRB,0
TF0720.4,PARA,4
TF0720.4,REP+EXP,4
TF0910.1,PREM,82
TF0910.1,ML,82
TF0910.1,PRM,8
TF0910.1,PRB,8
TF0910.1,PARA,8
TF0910.1,REP+EXP,8
TF0750.2,PREM,0
TF0750.2,ML,252
TF0750.2,PRM,0
TF0750.2,PRB,0
TF0750.2,PARA,0
TF0750.2,REP+EXP,0
TF0780.2,PREM,0
TF0780.2,ML,64
TF0780.2,PRM,0
TF0780.2,PRB,0
TF0780.2,PARA,0
TF0780.2,REP+EXP,0
TA3200.2,PREM,7
TA3200.2,ML,82
TA3200.2,PRM,1
TA3200.2,PRB,0
TA3200.2,PARA,0
TA3200.2,REP+EXP,0
TR0900.2,PREM,48
TR0900.2,ML,450
TR0900.2,PRM,24
TR0900.2,PRB,90
TR0900.2,PARA,20
TR0900.2,REP+EXP,16
TF0800.1,PREM,70
TF0800.1,ML,192
TF0800.1,PRM,25.5
TF0800.1,PRB,10
TF0800.1,PARA,8
TF0800.1,REP+EXP,8
PEQUEÑOS L,PREM,50
PEQUEÑOS L,ML,400
PEQUEÑOS L,PRM,40
PEQUEÑOS L,PRB,40
PEQUEÑOS L,PARA,45.3
PEQUEÑOS L,REP+EXP,8
PEQUEÑOS D,PREM,100
PEQUEÑOS D,ML,750
PEQUEÑOS D,PRM,40
PEQUEÑOS D,PRB,80
PEQUEÑOS D,PARA,55.9
PEQUEÑOS D,REP+EXP,8
GRANDES L,PREM,100
GRANDES L,ML,800
GRANDES L,PRM,40
GRANDES L,PRB,60
GRANDES L,PARA,68.9
GRANDES L,REP+EXP,8
GRANDES D,PREM,150
GRANDES D,ML,1000
GRANDES D,PRM,40
GRANDES D,PRB,80
GRANDES D,PARA,80
GRANDES D,REP+EXP,8
XL L,PREM,200
XL L,ML,2200
XL L,PRM,40
XL L,PRB,160
XL L,PARA,100.1
XL L,REP+EXP,16
XL D,PREM,250
XL D,ML,2700
XL D,PRM,40
XL D,PRB,160
XL D,PARA,16
XL D,REP+EXP,16
TR1020.1,PREM,130
TR1020.1,ML,450
TR1020.1,PRM,5
TR1020.1,PRB,16
TR1020.1,PARA,16
TR1020.1,REP+EXP,2
PT0163,PREM,46.0
PT0163,ML,48.0
PT0163,PTBI,6.9
PT0163,PTBA,5.0
PT0163,TBQ,5.0
PT0163,PACK,60.0
TF900,PREM,5.5
TF900,ML,6.2
TF900,PTBI,3.0
TF900,PTBA,4.0
TF900,TBQ,4.0
TF900,PACK,200.0
PT0189,PREM,7.2
PT0189,ML,7.9
PT0189,PTBI,9.1
PT0189,PTBA,3.0
PT0189,TBQ,3.0
PT0189,PACK,130.0
AAA,ML,60.0
PT0193,ML,200.0
