line;model;Demanda (UDS/SEM);Capacidad (UDS/SEM);Saturación (%);Déficit (UDS/SEM);bottleneck;Demanda (UDS/AÑO);Capacidad (UDS/AÑO);Demanda (h/SEM);Capacidad (h/SEM);Demanda (h/AÑO);Capacidad (h/AÑO)
LINE_A;PT0189;6;9;6.348.837.209.302.320;0;PTBI;300;4.725.274.725.274.720;9.611.999.999.999.990;15.139.780.219.780.200;48060;7.569.890.109.890.100
LINE_B;PT0189;8;9;8.465.116.279.069.760;0;PTBI;400;4.725.274.725.274.720;1281.6;15.139.780.219.780.200;6.407.999.999.999.990;7.569.890.109.890.100
LINE_C;AAA;0;7,166666666667;0;0;ML;0;35.833.333.333.333.300;0;430;0;21500
LINE_D;PT0163;0;8,600;0;0;PTBA;0;430;0;1469.74;0;73487
LINE_E;PT0189;0;9,451;0;0;PTBI;0;4.725.274.725.274.720;0;15.139.780.219.780.200;0;7.569.890.109.890.100
LINE_F;TF900;0;10,750;0;0;PTBA;0;537.5;0;2.394.025;0;119701.25
LINE_G;PT0163;0;0.7166666666666667;0;0;PACK;0;35.833.333.333.333.300;0;12.247.833.333.333.300;0;6.123.916.666.666.660
LINE_H;PT0163;0;0.7166666666666667;0;0;PACK;0;35.833.333.333.333.300;0;12.247.833.333.333.300;0;6.123.916.666.666.660
LINE_I;AAA;0;4.3;0;0;ML;0;215;0;258;0;12900
TOTAL;;14;6.060.164.835.164.830;;;;700;30.300.824.175.824.100;22.427.999.999.999.900;9.338.655.732.600.730;112140;4.669.327.866.300.360
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;model;Demanda (UDS/SEM);Capacidad (UDS/SEM);;;;;;;;;
;AAA;0;7,167;;;;;;;;;
;PT0163;0;8,600;;;;;;;;;
;PT0189;0;9,451;;;;;;;;;
;TF900;0;10,750;;;;;;;;;
